warehouse_id;sku;product_name;quantity_available;minimum_level;location;last_updated;supplier
WH_02;ERP/KEY/005/2024;  LG UltraWide 34" Monitor  ;310 units;33;Warehouse A - Section 1;03-10-2025 15:45:19;  Apple Inc.  
WH_05;ERP_LAP_001_2024;  Logitech MX Master 3S  ;289 units;17;Warehouse B - Section 2;07-09-2025 13:14:07;  Logitech International  
  WH-03  ;ERP--MON--004--2024;  Samsung Galaxy S24 Ultra;23pcs;25;Warehouse A - Section 1;2025/09/28 23:44;  Logitech International  
  WH-03  ;ERP/TAB/003/2024;Samsung Galaxy S24 Ultra;489;36;WAREHOUSE B - SECTION 2;02/09/2025 00:54;Logitech
WH-01  ;ERP MON 004 2024;  ASUS VivoBook 15 Laptop;81;10;WAREHOUSE A - SECTION 1;06/10/2025 23:04;Apple Inc.  
  WH-04;ERP TAB 003 2024;  ASUS VivoBook 15 Laptop  ;392 units;49;WAREHOUSE B - SECTION 2;2025/09/06 13:24;  Logitech  
WH-05  ;ERP-MOU-006-2024;ASUS VivoBook 15 Laptop  ;4;44;WAREHOUSE B - SECTION 2;30/09/2025;Logitech
WH-05;ERP-PHONE-002-2024  ;  Logitech MX Keys  ;217;25;Warehouse B - Section 2;15/09/2025;  Logitech  
  WH-05;ERP/KEY/005/2024;Logitech MX Master 3S  ;309;15;WAREHOUSE B - SECTION 2;2025/10/06 16:24;ASUS Inc
WH_01;ERP-TAB-003-2024;  Logitech MX Keys  ;140;36;WAREHOUSE A - SECTION 1;06/10/2025;LG Electronics  
WH-01  ;ERP/MOU/006/2024;ASUS VivoBook 15 Laptop  ;419 units;13;Warehouse B - Section 2;04/10/2025;  Logitech International  
WH_05;ERP MOU 006 2024;  Logitech MX Master 3S  ;72 units;12;Warehouse A - Section 1;04/10/2025 22:26;Logitech International
WH_02;ERP KEY 005 2024;  ASUS VivoBook 15 Laptop;468pcs;42;Warehouse B - Section 2;12-09-2025 23:11:41;Samsung Electronics  
WH-04;ERP/KEY/005/2024;Samsung Galaxy S24 Ultra  ;334;14;WAREHOUSE A - SECTION 1;10/10/2025;  Apple Inc.
WH_05;  ERP-LAP-001-2024  ;  Apple iPad Pro 12.9 512GB;466;15;Warehouse A - Section 1;2025-10-11T20:16:22Z;  Logitech International  
WH_04;ERP--MON--004--2024;Logitech MX Keys;313pcs;22;Warehouse A - Section 1;12-09-2025 00:52:47;Logitech
WH_01;ERP_TAB_003_2024;Apple iPad Pro 12.9 512GB;349;36;WAREHOUSE B - SECTION 2;2025-10-09T18:30:40Z;  Logitech  
WH_01;ERP KEY 005 2024;  LG UltraWide 34" Monitor;460;43;Warehouse A - Section 1;02-10-2025 15:34:02;  Logitech International
WH_05;ERP-MOU-006-2024;ASUS VivoBook 15 Laptop;39;16;Warehouse B - Section 2;2025/09/09 14:30;  LG Electronics
WH-01;ERP PHONE 002 2024;  Logitech MX Keys;274;17;WAREHOUSE A - SECTION 1;2025/10/04 16:06;Logitech International
WH-02;ERP KEY 005 2024;  Logitech MX Master 3S  ;245;44;Warehouse B - Section 2;2025/09/19 07:50;Logitech  
WH_04;ERP KEY 005 2024;Logitech MX Keys  ;98 units;30;WAREHOUSE B - SECTION 2;2025/09/18 11:31;Samsung Electronics  
WH-02;ERP--LAP--001--2024;  ASUS VivoBook 15 Laptop;402 units;14;Warehouse B - Section 2;2025/10/02 10:56;ASUS Inc  
WH_05;ERP--PHONE--002--2024;  LG UltraWide 34" Monitor  ;315pcs;32;WAREHOUSE B - SECTION 2;07/09/2025 00:56;Logitech International  
WH-02;ERP/PHONE/002/2024;  ASUS VivoBook 15 Laptop;315;25;Warehouse A - Section 1;2025/09/25 21:10;Logitech  
WH-01;ERP-MON-004-2024  ;  LG UltraWide 34" Monitor;220;18;WAREHOUSE A - SECTION 1;21/09/2025 13:31;  Logitech International
