sale_id;sale_date;store_id;store_name;cashier_id;customer_id;sku;product_name;quantity;unit_price;total_amount;payment_method;loyalty_card
STORE-001-2025;2025-10-01 09:30:15;STORE-001;Loja Centro Braga;CASH-01;CUST-FIS-001;ERP-LAP-001-2024;Portátil ASUS VivoBook 15;1;599.99;599.99;credit_card;LC-1001
STORE-001-2025;2025-10-01 11:45:30;STORE-001;Loja Centro Braga;CASH-02;CUST-FIS-002;ERP-PHONE-002-2024;Samsung Galaxy S24 Ultra;1;1199.99;1199.99;debit_card;LC-1002
STORE-002-2025;2025-10-02 14:20:45;STORE-002;Loja Porto Norte;CASH-03;CUST-FIS-003;ERP-TAB-003-2024;Apple iPad Pro 12.9 512GB;2;1499.99;2999.98;cash;
STORE-001-2025;2025-10-03 10:15:20;STORE-001;Loja Centro Braga;CASH-01;CUST-FIS-004;ERP-MON-004-2024;Monitor LG UltraWide 34";1;449.99;449.99;credit_card;LC-1004
STORE-002-2025;2025-10-03 16:35:10;STORE-002;Loja Porto Norte;CASH-04;CUST-FIS-005;ERP-KEY-005-2024;Teclado Mecânico Logitech MX Keys;3;129.99;389.97;debit_card;LC-1005
STORE-001-2025;2025-10-04 13:25:50;STORE-001;Loja Centro Braga;CASH-02;CUST-FIS-006;ERP-MOU-006-2024;Rato Logitech MX Master 3S;2;99.99;199.98;cash;LC-1006
STORE-002-2025;2025-10-05 15:40:35;STORE-002;Loja Porto Norte;CASH-03;CUST-FIS-007;ERP-LAP-001-2024;Portátil ASUS VivoBook 15;1;599.99;599.99;credit_card;
STORE-001-2025;2025-10-06 12:10:25;STORE-001;Loja Centro Braga;CASH-01;CUST-FIS-008;ERP-PHONE-002-2024;Samsung Galaxy S24 Ultra;1;1199.99;1199.99;debit_card;LC-1008
STORE-002-2025;2025-10-07 17:55:40;STORE-002;Loja Porto Norte;CASH-04;CUST-FIS-009;ERP-KEY-005-2024;Teclado Mecânico Logitech MX Keys;1;129.99;129.99;cash;LC-1009
STORE-001-2025;2025-10-08 08:45:15;STORE-001;Loja Centro Braga;CASH-02;CUST-FIS-010;ERP-MOU-006-2024;Rato Logitech MX Master 3S;1;99.99;99.99;debit_card;LC-1010
