warehouse_id;sku;product_name;quantity_available;minimum_level;location;last_updated;supplier
WH-03;  ERP-PHONE-002-2024;ASUS VivoBook 15 Laptop  ;304pcs;25;Warehouse A - Section 1;03/10/2025;Apple Inc.  
WH-01;ERP MON 004 2024;  Apple iPad Pro 12.9 512GB  ;114pcs;50;WAREHOUSE A - SECTION 1;05-10-2025 00:27:34;  Apple Inc.
WH-03;ERP/MOU/006/2024;Logitech MX Keys;363 units;40;Warehouse A - Section 1;2025-09-20T19:47:12Z;Apple Inc.  
WH-04;ERP TAB 003 2024;LG UltraWide 34" Monitor  ;172pcs;50;WAREHOUSE A - SECTION 1;2025/09/08 15:08;  Logitech International  
  WH-02  ;ERP/KEY/005/2024;  Logitech MX Keys  ;349 units;33;Warehouse B - Section 2;20/09/2025 18:04;  Logitech
WH-03  ;ERP/LAP/001/2024;Samsung Galaxy S24 Ultra  ;108 units;19;Warehouse A - Section 1;30/09/2025;  Apple Inc.  
WH_05;ERP-PHONE-002-2024;  Logitech MX Keys;37;26;WAREHOUSE A - SECTION 1;10/09/2025;ASUS Inc
WH_03;ERP/KEY/005/2024;Logitech MX Master 3S;172 units;26;Warehouse B - Section 2;05/10/2025;Logitech International  
  WH-03;ERP TAB 003 2024;  Apple iPad Pro 12.9 512GB  ;185;42;WAREHOUSE B - SECTION 2;05/10/2025 07:56;  Apple Inc.
WH_04;ERP TAB 003 2024;Logitech MX Master 3S;155;15;WAREHOUSE B - SECTION 2;2025/10/06 19:38;Samsung Electronics  
WH_01;ERP_MOU_006_2024;ASUS VivoBook 15 Laptop;318;33;Warehouse B - Section 2;26/09/2025;  Apple Inc.
WH-03;ERP LAP 001 2024;Samsung Galaxy S24 Ultra;365 units;23;WAREHOUSE B - SECTION 2;2025/10/05 17:33;Apple Inc.  
WH-03;  ERP-KEY-005-2024  ;ASUS VivoBook 15 Laptop;215;13;WAREHOUSE A - SECTION 1;06/09/2025;ASUS Inc
  WH-01;ERP MOU 006 2024;  Samsung Galaxy S24 Ultra;122;32;WAREHOUSE A - SECTION 1;2025-09-20T11:30:48Z;Logitech  
WH-02;ERP/MON/004/2024;  ASUS VivoBook 15 Laptop  ;167 units;15;WAREHOUSE B - SECTION 2;04/09/2025;Logitech
WH_03;ERP_KEY_005_2024;ASUS VivoBook 15 Laptop  ;181 units;11;WAREHOUSE A - SECTION 1;02-10-2025 22:52:48;  Logitech  
WH_05;ERP_PHONE_002_2024;Logitech MX Keys  ;138;17;WAREHOUSE A - SECTION 1;21-09-2025 05:56:33;Logitech International  
WH_04;ERP--MON--004--2024;  Samsung Galaxy S24 Ultra;286 units;28;Warehouse B - Section 2;2025-09-27T17:24:37Z;  Apple Inc.
WH-02;ERP_LAP_001_2024;  Samsung Galaxy S24 Ultra  ;179 units;48;Warehouse B - Section 2;2025-09-04T09:22:04Z;Samsung Electronics
WH_01;ERP--PHONE--002--2024;  ASUS VivoBook 15 Laptop  ;171pcs;40;Warehouse B - Section 2;2025/10/02 01:13;Logitech
WH-05;ERP--MOU--006--2024;Logitech MX Keys;370 units;14;WAREHOUSE B - SECTION 2;2025/09/18 18:51;  Logitech
